row,energy_gray,static_noise_gray,snr,consistency,in_chosen_band,in_incumbent_band
514,9.139,6.709,1.362,0.75,0,0
515,9.046,6.739,1.342,0.75,0,0
516,9.034,6.738,1.341,0.75,0,0
517,8.825,6.766,1.304,0.75,0,0
518,8.607,6.824,1.261,0.75,0,0
519,8.54,6.956,1.228,0.75,0,0
520,8.522,6.816,1.25,0.75,0,0
521,8.538,6.897,1.238,0.75,0,0
522,8.258,6.866,1.203,0.75,0,0
523,8.183,6.913,1.184,0.75,0,0
524,8.134,6.928,1.174,0.75,0,0
525,8.141,6.958,1.17,0.75,0,0
526,8.167,6.987,1.169,0.75,0,0
527,8.219,7.059,1.164,0.75,0,0
528,8.393,6.934,1.21,0.75,0,0
529,8.44,6.899,1.223,0.75,0,0
530,8.383,6.848,1.224,0.75,0,0
531,8.419,6.92,1.217,1.0,0,0
532,8.371,7.03,1.191,1.0,0,0
533,8.419,6.956,1.21,1.0,0,0
534,8.425,6.799,1.239,1.0,0,0
535,8.349,6.693,1.247,1.0,0,0
536,8.391,6.618,1.268,1.0,0,0
537,8.234,6.613,1.245,1.0,0,0
538,7.97,6.542,1.218,1.0,0,0
539,8.019,6.502,1.233,1.0,0,0
540,8.241,6.456,1.277,1.0,0,0
541,8.247,6.395,1.29,1.0,0,0
542,7.928,6.378,1.243,1.0,0,0
543,7.787,6.361,1.224,1.0,0,0
544,7.739,6.293,1.23,1.0,0,0
545,7.74,6.266,1.235,1.0,0,0
546,7.845,6.219,1.261,1.0,0,0
547,7.999,6.207,1.289,1.0,0,0
548,7.926,6.153,1.288,1.0,0,0
549,7.871,6.123,1.285,1.0,0,0
550,7.581,6.118,1.239,1.0,0,0
551,7.275,6.107,1.191,1.0,0,0
552,7.107,6.104,1.164,1.0,0,0
553,7.075,6.097,1.16,1.0,0,0
554,7.044,6.028,1.168,1.0,0,0
555,6.92,6.038,1.146,1.0,0,0
556,6.963,6.006,1.159,1.0,0,0
557,7.151,5.955,1.201,1.0,0,0
558,7.037,6.042,1.165,1.0,0,0
559,6.987,5.886,1.187,1.0,0,0
560,7.097,5.914,1.2,1.0,0,0
561,7.146,5.869,1.218,1.0,0,0
562,7.049,5.837,1.208,1.0,0,0
563,7.287,5.827,1.25,1.0,0,0
564,7.614,5.829,1.306,1.0,0,0
565,7.557,5.83,1.296,1.0,0,0
566,7.53,5.757,1.308,1.0,0,0
567,7.795,5.719,1.363,1.0,0,0
568,8.107,5.724,1.416,1.0,0,0
569,8.009,5.754,1.392,1.0,0,0
570,7.948,5.747,1.383,1.0,0,0
571,7.877,5.759,1.368,1.0,0,0
572,7.803,5.726,1.363,1.0,0,0
573,8.135,5.731,1.42,1.0,0,0
574,7.507,5.701,1.317,1.0,0,0
575,7.269,5.822,1.249,1.0,0,0
